HMDB_ID	MzBank	[M+H]+	[M-H]-	MetName	ChemFormula	INChIkey
HMDB0000321	162.05282343	163.06009983	161.04554703	"2-Hydroxyadipic acid"	C6H10O5	OTTXIFWBPRRYOG-UHFFFAOYSA-N
HMDB0000325	190.084123558	191.091399958	189.076847158	"3-Hydroxysuberic acid"	C8H14O5	ARJZZFJXSNJKGR-UHFFFAOYSA-N
HMDB0000326	408.28757439	409.29485079	407.28029799	"1b,3a,12a-Trihydroxy-5b-cholanoic acid"	C24H40O5	DAKYVYUAVGJDRK-LFMRMFNLSA-N
HMDB0000332	376.188588628	377.195865028	375.181312228	18-Oxocortisol	C21H28O6	XUQWWIFROYJHCU-FJNAKSJRSA-N
HMDB0000335	286.15689457	287.16417097	285.14961817	16a-Hydroxyestrone	C18H22O3	WPOCIZJTELRQMF-QFXBJFAPSA-N
HMDB0000336	104.047344122	105.054620522	103.040067722	"(R)-3-Hydroxyisobutyric acid"	C4H8O3	DBXBTMSZEOQQDU-GSVOUGTGSA-N
HMDB0000337	120.042258744	121.049535144	119.034982344	"(S)-3,4-Dihydroxybutyric acid"	C4H8O4	DZAIOXUZHHTJKN-UHFFFAOYSA-N
HMDB0000343	286.15689457	287.16417097	285.14961817	2-Hydroxyestrone	C18H22O3	SWINWPBPEKHUOD-JPVZDGGYSA-N
HMDB0000345	162.05282343	163.06009983	161.04554703	"3-Hydroxyadipic acid"	C6H10O5	YVOMYDHIQVMMTA-UHFFFAOYSA-N
HMDB0000347	288.172544634	289.179821034	287.165268234	16b-Hydroxyestradiol	C18H24O3	PROQIPRRNZUXQM-ZMSHIADSSA-N
HMDB0000350	218.115423686	219.122700086	217.108147286	"3-Hydroxysebacic acid"	C10H18O5	OQYZCCKCJQWHIE-UHFFFAOYSA-N
HMDB0000352	304.203844762	305.211121162	303.196568362	16a-Hydroxydehydroisoandrosterone	C19H28O3	QQIVKFZWLZJXJT-DNKQKWOHSA-N
HMDB0000357	104.047344122	105.054620522	103.040067722	"3-Hydroxybutyric acid"	C4H8O3	WHBMMWSBFZVSSR-UHFFFAOYSA-N
HMDB0000359	434.339609961	435.346886361	433.332333561	"3alpha,7alpha-Dihydroxycoprostanic acid"	C27H46O4	ITZYGDKGRKKBSN-HKFUITGCSA-N
HMDB0000360	120.042258744	121.049535144	119.034982344	"2,4-Dihydroxybutanoic acid"	C4H8O4	UFYGCFHQAXXBCF-UHFFFAOYSA-N
HMDB0000362	185.99293909	187.00021549	184.98566269	"2-Phosphoglyceric acid"	C3H7O7P	GXIURPTVHJPJLF-UHFFFAOYSA-N
HMDB0000363	332.23514489	333.24242129	331.22786849	17a-Hydroxypregnenolone	C21H32O3	JERGUCIJOXJXHF-TVWVXWENSA-N
HMDB0000365	290.224580204	291.231856604	289.217303804	Epiandrosterone	C19H30O2	QGXBDMJGAMFCBF-QRIARFFBSA-N
HMDB0000369	292.240230268	293.247506668	291.232953868	3b,17b-Dihydroxyetiocholane	C19H32O2	CBMYJHIOYJEBSB-WTVXNACZSA-N
HMDB0000374	330.219494826	331.226771226	329.212218426	17-Hydroxyprogesterone	C21H30O3	DBPWSSGDRRHUNT-CEGNMAFCSA-N
HMDB0000375	166.062994186	167.070270586	165.055717786	"3-(3-Hydroxyphenyl)propanoic acid"	C9H10O3	QVWAEZJXDYOKEH-UHFFFAOYSA-N
HMDB0000379	206.042652674	207.049929074	205.035376274	"2-Methylcitric acid"	C7H10O7	YNOXCRMFGMSKIJ-UHFFFAOYSA-N
HMDB0000380	302.188194698	303.195471098	301.180918298	"2-Hydroxyestradiol-3-methyl ether"	C19H26O3	MMKYSUOJWFKECQ-SSTWWWIQSA-N
HMDB0000387	216.172544634	217.179821034	215.165268234	"3-Hydroxydodecanoic acid"	C12H24O3	MUCMKTPAZLSKTL-UHFFFAOYSA-N
HMDB0000394	274.178023942	275.185300342	273.170747542	"3-Hydroxytetradecanedioic acid"	C14H26O5	CEDZIURHISELSQ-UHFFFAOYSA-N
HMDB0000396	118.062994186	119.070270586	117.055717786	"2-Ethylhydracrylic acid"	C5H10O3	ZMZQVAUJTDKQGE-UHFFFAOYSA-N
HMDB0000397	154.026608673	155.033885073	153.019332273	"2-Pyrocatechuic acid"	C7H6O4	GLDQAMYCGOIJDV-UHFFFAOYSA-N
HMDB0000405	302.188194698	303.195471098	301.180918298	2-Methoxyestradiol	C19H26O3	CQOQDQWUFQDJMK-SSTWWWIQSA-N
HMDB0000407	118.062994186	119.070270586	117.055717786	"2-Hydroxy-3-methylbutyric acid"	C5H10O3	NGEWQZIDQIYUNV-UHFFFAOYSA-N
HMDB0000413	246.146723814	247.154000214	245.139447414	"3-Hydroxydodecanedioic acid"	C12H22O5	FYVQCLGZFXHEGL-UHFFFAOYSA-N
HMDB0000416	412.191959446	413.199235846	411.184683046	"17-Hydroxypregnenolone sulfate"	C21H32O6S	OMOKWYAQVYBHMG-QUPIPBJSSA-N
HMDB0000418	378.204238692	379.211515092	377.196962292	18-Hydroxycortisol	C21H30O6	HESFZGWRDUVOMS-FJNAKSJRSA-N
HMDB0000422	146.057908808	147.065185208	145.050632408	"2-Methylglutaric acid"	C6H10O4	AQYCMVICBNBXNA-UHFFFAOYSA-N
HMDB0000423	182.057908808	183.065185208	181.050632408	"3,4-Dihydroxyhydrocinnamic acid"	C9H10O4	DZAUWHJDUNRCTF-UHFFFAOYSA-N
HMDB0000424	218.115423686	219.122700086	217.108147286	"2-Hydroxydecanedioic acid"	C10H18O5	LPIOYESQKJFWPQ-UHFFFAOYSA-N
HMDB0000426	148.037173366	149.044449766	147.029896966	"Citramalic acid"	C5H8O5	XFTRTWQBIOMVPK-UHFFFAOYSA-N
HMDB0000428	148.037173366	149.044449766	147.029896966	"3-Hydroxyglutaric acid"	C5H8O5	ZQHYXNSQOIDNTL-UHFFFAOYSA-N
HMDB0000429	272.177630012	273.184906412	271.170353612	17a-Estradiol	C18H24O2	VOXZDWNPVJITMN-SFFUCWETSA-N
HMDB0000430	416.329045274	417.336321674	415.321768874	"24,25-Dihydroxyvitamin D"	C27H44O3	FCKJYANJHNLEEP-OIMXRAFZSA-N
HMDB0000434	196.073558872	197.080835272	195.066282472	"Homoveratric acid"	C10H12O4	WUAXWQRULBZETB-UHFFFAOYSA-N
HMDB0000439	169.037507717	170.044784117	168.030231317	2-Furoylglycine	C7H7NO4	KSPQDMRTZZYQLM-UHFFFAOYSA-N
HMDB0000440	152.047344122	153.054620522	151.040067722	"3-Hydroxyphenylacetic acid"	C8H8O3	FVMDYYGIDFPZAX-UHFFFAOYSA-N
HMDB0000442	104.047344122	105.054620522	103.040067722	"(S)-3-Hydroxybutyric acid"	C4H8O3	WHBMMWSBFZVSSR-VKHMYHEASA-N
HMDB0000448	146.057908808	147.065185208	145.050632408	"Adipic acid"	C6H10O4	WNLRTRBMVRJNCN-UHFFFAOYSA-N
HMDB0000449	350.245709576	351.252985976	349.238433176	5a-Tetrahydrocorticosterone	C21H34O4	RHQQHZQUAMFINJ-NZTKVECHSA-N
HMDB0000450	162.100442324	163.107718724	161.093165924	5-Hydroxylysine	C6H14N2O3	YSMODUONRAFBET-UHNVWZDZSA-N
HMDB0000452	103.063328537	104.070604937	102.056052137	"L-alpha-Aminobutyric acid"	C4H9NO2	QWCKQJZIFLGMSD-VKHMYHEASA-N
HMDB0000459	157.073893223	158.081169623	156.066616823	3-Methylcrotonylglycine	C7H11NO3	PFWQSHXPNKRLIV-UHFFFAOYSA-N
HMDB0000462	158.043990078	159.051266478	157.036713678	Allantoin	C4H6N4O3	POJWUDADGALRAB-UHFFFAOYSA-N
HMDB0000464	39.962591155	40.969867555	38.955314755	Calcium	Ca	BHPQYMZQTOCNFJ-UHFFFAOYSA-N
HMDB0000468	237.086189243	238.093465643	236.078912843	Biopterin	C9H11N5O3	LHQIJBMDNUYRAM-DZSWIPIPSA-N
HMDB0000469	142.037842068	143.045118468	141.030565668	5-Hydroxymethyluracil	C5H6N2O3	JDBGXEHEIRGOBU-UHFFFAOYSA-N
HMDB0000472	220.08479226	221.09206866	219.07751586	5-Hydroxy-L-tryptophan	C11H12N2O3	LDCYZAJDBXYCGN-VIFPVBQESA-N
HMDB0000473	163.085795313	164.093071713	162.078518913	6-Dimethylaminopurine	C7H9N5	BVIAOQMSVZHOJM-UHFFFAOYSA-N
HMDB0000474	72.057514878	73.064791278	71.050238478	Butanone	C4H8O	ZWEHNKRNPOVVGH-UHFFFAOYSA-N
HMDB0000479	169.085126611	170.092403011	168.077850211	3-Methylhistidine	C7H11N3O2	JDHILDINMRGULE-LURJTMIESA-N
HMDB0000481	268.080769514	269.088045914	267.073493114	"Allopurinol riboside"	C10H12N4O5	KFQUAMTWOJHPEJ-DAGMQNCNSA-N
	161.1051934	162.11247		L-Carnitine	C7H15NO3	
	203.1157534	204.12303		Acylcarnitine-C2	C9H17NO4	
	217.1314034	218.13868		Acylcarnitine-C3	C10H19NO4	
	231.1470534	232.15433		Acylcarnitine-C4	C11H21NO4	
	245.1627034	246.16998		Acylcarnitine-C5	C12H23NO4	
	259.1783534	260.18563		Acylcarnitine-C6	C13H25NO4	
	287.2096534	288.21693		Acylcarnitine-C8	C15H29NO4	
	315.2409634	316.24824		Acylcarnitine-C10	C17H33NO4	
	343.2722634	344.27954		Acylcarnitine-C12	C19H37NO4	
	371.3035634	372.31084		Acylcarnitine-C14	C21H41NO4	
	399.3348634	400.34214		hexadecanoylcarnitine C16:0	C23H45NO4	
	427.3661634	428.37344		Stearoylcarnitine	C25H49NO4	
	444.3689034	445.37618		3-HydroxyStearoyl-L-carnitine	C25H50NO5	
